sort_order,filename,item_id,title,date,iiif_url,width_px,height_px,bytes,max_print_in_at_300dpi,max_print_in_at_150dpi
067,067_minnesota.jpg,RUMSEY~8~1~217861~5503957,Minnesota.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217861~5503957,11507,8012,27527154,38.36 x 26.71,76.71 x 53.41
068,068_iowa.jpg,RUMSEY~8~1~217863~5503958,Iowa.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217863~5503958,8003,11566,30371531,26.68 x 38.55,53.35 x 77.11
069,069_missouri.jpg,RUMSEY~8~1~217865~5503959,Missouri.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217865~5503959,5974,7983,11653293,19.91 x 26.61,39.83 x 53.22
070,070_missouri.jpg,RUMSEY~8~1~217867~5503960,Missouri.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217867~5503960,7959,6139,19696468,26.53 x 20.46,53.06 x 40.93
071,071_oklahoma.jpg,RUMSEY~8~1~217868~5503961,Oklahoma.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217868~5503961,8003,11557,30232127,26.68 x 38.52,53.35 x 77.05
072,072_texas.jpg,RUMSEY~8~1~217870~5503962,Texas.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217870~5503962,11500,7998,31375678,38.33 x 26.66,76.67 x 53.32
073,073_kansas.jpg,RUMSEY~8~1~217872~5503963,Kansas.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217872~5503963,8012,11531,25569212,26.71 x 38.44,53.41 x 76.87
074,074_nebraska.jpg,RUMSEY~8~1~217874~5503964,Nebraska.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217874~5503964,8012,11556,29780132,26.71 x 38.52,53.41 x 77.04
075,075_north-dakota-south-dakota.jpg,RUMSEY~8~1~217876~5503965,North Dakota. South Dakota.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217876~5503965,11484,7984,29566228,38.28 x 26.61,76.56 x 53.23
076,076_montana.jpg,RUMSEY~8~1~217879~5503966,Montana.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217879~5503966,7994,11540,30298918,26.65 x 38.47,53.29 x 76.93
077,077_idaho.jpg,RUMSEY~8~1~217881~5503967,Idaho.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217881~5503967,11492,7984,27681002,38.31 x 26.61,76.61 x 53.23
078,078_wyoming.jpg,RUMSEY~8~1~217883~5503968,Wyoming.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217883~5503968,8020,11566,30574859,26.73 x 38.55,53.47 x 77.11
079,079_colorado.jpg,RUMSEY~8~1~217885~5503969,Colorado.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217885~5503969,8029,11556,28555059,26.76 x 38.52,53.53 x 77.04
080,080_new-mexico-arizona.jpg,RUMSEY~8~1~217887~5503970,New Mexico. Arizona.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217887~5503970,8002,11548,28151144,26.67 x 38.49,53.35 x 76.99
081,081_arizona-utah.jpg,RUMSEY~8~1~217890~5503971,Arizona. Utah.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217890~5503971,8004,11522,22296248,26.68 x 38.41,53.36 x 76.81
082,082_nevada-utah.jpg,RUMSEY~8~1~217892~5503972,Nevada. Utah.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217892~5503972,8012,11548,28102828,26.71 x 38.49,53.41 x 76.99
083,083_california.jpg,RUMSEY~8~1~217894~5503973,California.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217894~5503973,11485,7975,27934165,38.28 x 26.58,76.57 x 53.17
084,084_oregon.jpg,RUMSEY~8~1~217896~5503974,Oregon.,1953,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~217896~5503974,7995,11558,28945915,26.65 x 38.53,53.30 x 77.05
